"team_name","week","day","date","result","opponent","tm_score","opp_score","1stD_offense","TotYd_offense","PassY_offense","RushY_offense","TO_offense","1stD_defense","TotYd_defense","PassY_defense","RushY_defense","TO_defense"
"Seattle Seahawks",1,"Sun","September 7",0,"San Francisco 49ers",13,17,14,230,146,84,2,24,384,265,119,2
"Seattle Seahawks",2,"Sun","September 14",1,"Pittsburgh Steelers",31,17,21,395,278,117,2,13,267,195,72,2
"Seattle Seahawks",3,"Sun","September 21",1,"New Orleans Saints",44,13,22,320,233,87,1,21,284,205,79,1
"Seattle Seahawks",4,"Thu","September 25",1,"Arizona Cardinals",23,20,20,384,229,155,1,18,253,164,89,2
"Seattle Seahawks",5,"Sun","October 5",0,"Tampa Bay Buccaneers",35,38,27,463,341,122,2,25,426,370,56,
"Seattle Seahawks",6,"Sun","October 12",1,"Jacksonville Jaguars",20,12,13,346,286,60,,17,273,214,59,
"Seattle Seahawks",7,"Mon","October 20",1,"Houston Texans",27,19,19,316,198,118,4,18,254,198,56,1
"Seattle Seahawks",8,"Sun","November 2",1,"Washington Commanders",38,14,21,418,330,88,1,19,290,133,157,2
"Seattle Seahawks",9,"Sun","November 9",1,"Arizona Cardinals",44,22,22,372,174,198,3,21,335,206,129,2
"Seattle Seahawks",10,"Sun","November 16",0,"Los Angeles Rams",19,21,26,414,279,135,4,12,249,130,119,1
"Seattle Seahawks",11,"Sun","November 23",1,"Tennessee Titans",30,24,19,353,239,114,,18,296,232,64,
"Seattle Seahawks",12,"Sun","November 30",1,"Minnesota Vikings",26,0,17,219,94,125,2,11,162,96,66,5
"Seattle Seahawks",13,"Sun","December 7",1,"Atlanta Falcons",37,9,20,365,236,129,1,15,274,154,120,3
"Seattle Seahawks",14,"Sun","December 14",1,"Indianapolis Colts",18,16,15,314,264,50,,14,220,118,102,1
"Seattle Seahawks",15,"Thu","December 18",1,"Los Angeles Rams",38,37,22,415,244,171,3,26,581,457,124,
"Seattle Seahawks",16,"Sun","December 28",1,"Carolina Panthers",27,10,19,288,125,163,2,10,139,40,99,2
"Seattle Seahawks",17,"Sat","January 3",1,"San Francisco 49ers",13,3,23,361,181,180,,9,173,120,53,1
"Seattle Seahawks",18,"Sat","January 17",1,"San Francisco 49ers",41,6,19,281,106,175,,15,236,128,108,3
"Seattle Seahawks",19,"Sun","January 25",1,"Los Angeles Rams",31,27,24,396,321,75,,26,479,365,114,1
"Seattle Seahawks",20,"Sun","February 8",1,"New England Patriots",29,13,20,335,194,141,,18,331,252,79,3
